name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
Dana Fonteneau Consulting LLC,LLC,Active,2357150,2022-03-31,27 Wettleson Avenue,West Hartford,United States,06107,CT,dana@danafonteneau.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Management Consulting Services (541618),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 Bridge Street, LLC",LLC,Active,2357155,2022-03-31,260 Hathaway Dr,Stratford,United States,06615-7361,CT,luke@brg-cre.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,dstergas@dandvlaw.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Als Vibes Limited Liability Company,LLC,Active,2357161,2022-03-31,17 Sky Hill Cir,Waterbury,United States,06708-1629,CT,ally.taveras@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143 Pine Hill Road LLC,LLC,Active,2357165,2022-03-31,1451 Guernseytown Road,Watertown,United States,06795,CT,nancy.lupoelec@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Nonresidential Property Managers (531312),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 HUNTS POINT LLC,LLC,Active,2357189,2022-03-31,2200 E TREMONT AVE STE 5H,BRONX,United States,10462,NY,jmojica@blumb.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,jmojica@blumb.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-B&E INVESTMENTS LLC,LLC,Active,2357168,2022-03-31,100 INTERNALTIONAL WAY,WINSTED,United States,06098,CT,bill@eetoolco.com,Foreign,,2021-10-04,SOUTH CAROLINA,SOUTH CAROLINA,False,False,False,False,False,,,2021-11-10 00:06:47.6866667,,2021-10-01,SC-B&E INVESTMENTS,,"4637 Great Oaks Dr, Anderson, SC, 29625-6214, United States",4637 Great Oaks Dr,Anderson,SC,29625-6214,United States,"4637 Great Oaks Dr, Anderson, SC, 29625-6214, United States",4637 Great Oaks Dr,Anderson,SC,29625-6214,United States,,,,,,,,,,,,,,
Thoughtful Therapy Solutions LLC,LLC,Active,2357169,2022-03-31,10 Fort Hill Rd,Groton,United States,06340,CT,joellemft@icloud.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,joellemft@icloud.com,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razor Kutz Barbershop & Salon llc,LLC,Active,2357184,2022-03-31,2739 Main St,Hartford,United States,06120-1904,CT,javidirving1@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,javidirving1@gmail.com,Barber Shops (812111),2021-11-10 00:06:47.7333333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Hawthorne LLC,LLC,Active,2357171,2022-03-31,23 Andover Dr,West Hartford,United States,06110-1502,CT,elitepaintingandremodelingllc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Residential Remodelers (236118),2021-11-10 00:06:47.7033333,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW Glenview LLC,LLC,Active,2357227,2022-03-31,192 Lexington Avenue,New York,United States,10016,NY,avega@beachwold.com,Foreign,,2021-10-04,DELAWARE,DELAWARE,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:48.2033333,Suite 901,2021-10-05,BW Glenview LLC,,"1209 Orange Street, Wilmington, DE, 19801, United States",1209 Orange Street,Wilmington,DE,19801,United States,"1209 Orange St, Wilmington, DE, 19801-1120, United States",1209 Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,,,
Carlson Enterprises LLP,LLP,Active,2357179,2022-10-04,47 Greenlawn Ave,Newington,United States,06111-3518,CT,carlsonenterprisesllp@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Residential Remodelers (236118),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief Seconds LLC,LLC,Active,2357180,2022-03-31,470 James St,New Haven,United States,06513,CT,bruce@chiefseconds.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,brucedit@gmail.com,Marketing Consulting Services (541613),2021-11-10 00:06:47.6700000,Suite 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW Rivers Edge LLC,LLC,Active,2357243,2022-03-31,192 Lexington Ave,New York,United States,10016-6823,NY,avega@beachwold.com,Foreign,,2021-10-04,DELAWARE,DELAWARE,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:48.2166667,901,2021-10-05,BW Rivers Edge LLC,,"1209 Orange St, Wilmington, DE, 19801-1120, United States",1209 Orange St,Wilmington,DE,19801-1120,United States,"1209 Orange St, Wilmington, DE, 19801-1120, United States",1209 Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,,,
R2 CONSULTING LLC,LLC,Active,2357197,2022-03-31,90 Tufts Dr,Manchester,United States,06042-8500,CT,premsagar4@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"Data Processing, Hosting, and Related Services (518210)",2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECS Logistix LLC,LLC,Active,2357205,2022-03-31,54 Nod Rd,Windsor,United States,06095-3249,CT,necslogistix@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,Freight Transportation Arrangement (488510),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTIALE Faith Incorporated,Non-Stock,Rejected,2357203,,,,,,,l.dekawise@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,True,False,False,loriedw123@yahoo.com,Other Individual and Family Services (624190),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexagon Farmington Ave LLC,LLC,Active,2357215,2022-03-31,48 South St,West Hartford,United States,06110,CT,thehexagongroupllc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,thehexagongroupllc@gmail.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6700000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA Events and Branding LLC,LLC,Active,2357222,2022-03-31,1627 Huckins Rd,Cheshire,United States,06410-1341,CT,jjardimea@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,Convention and Trade Show Organizers (561920),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782 Oronoke Road LLC,LLC,Active,2357224,2022-03-31,1451 Guernseytown Rd,Watertown,United States,06795-1257,CT,nancy.lupoelec@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Nonresidential Property Managers (531312),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL Digital Strategies LLC,LLC,Active,2357225,2022-03-31,51 Maple Avenue,Farmington,United States,06085,CT,llcsupport@primecorporateservices.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BELOIN INVESTMENT GROUP, LLC",LLC,Active,2357232,2022-03-31,"15 N MAIN ST., STE. 105",WEST HARTFORD,US,06107,CT,john@beloingroup.com,Domestic,,2021-10-04,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeline Ravich Strategic Consulting LLC,LLC,Active,2357234,2022-03-31,145 Blake Road,Hamden,United States,06517,CT,mcravich@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,All Other Business Support Services (561499),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Pride Entertainment LLC,LLC,Active,2357255,2022-03-31,24 Marlborough Rd,Norwalk,United States,06851-2635,CT,stevefoppenheim@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRI TOWN HOCKEY BOOSTER CLUB, INC.",Non-Stock,Active,2357245,2022-10-07,37 Maple Street,Ellington,United States,06029,CT,TRITOWNBOOSTERCLUB@GMAIL.COM,Domestic,,2021-10-04,,Connecticut,False,False,False,False,False,,611620,2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,2021-09-27,,,,,,,,,,,
"HED Architecture, PLLC",LLC,Active,2357247,2022-03-31,26913 Northwestern Hwy,Southfield,United States,48033-4715,MI,hedfirmregistration@hed.design,Foreign,,2021-10-04,MICHIGAN,MICHIGAN,False,False,False,False,False,,Architectural Services (541310),2021-11-10 00:06:48.2333333,,2021-10-04,"HED Architecture, PLLC",,"26913 Northwestern Hwy, Southfield, MI, 48033-4715, United States",26913 Northwestern Hwy,Southfield,MI,48033-4715,United States,"26913 Northwestern Hwy, Southfield, MI, 48033-4715, United States",26913 Northwestern Hwy,Southfield,MI,48033-4715,United States,,,,,,,,,,,,,,
3AM PROPERTY SOLUTIONS LLC,LLC,Active,2357273,2022-03-31,100 Main St N,Southbury,United States,06488-3840,CT,3ampropertysolutions@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Activities Related to Real Estate (531390),2021-11-10 00:06:48.2333333,suite 222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DaVita Kidney Care Contracting, LLC",LLC,Active,2357263,2022-03-31,2000 16th Street,Denver,United States,80202,CO,subgov@davita.com,Foreign,,2021-10-04,DELAWARE,DELAWARE,False,False,False,False,False,,Kidney Dialysis Centers (621492),2021-11-10 00:06:48.2166667,,2021-09-30,"DaVita Kidney Care Contracting, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
82 FOREST A3 LLC,LLC,Active,2357270,2022-03-31,82 FOREST ST APT A3,STAMFORD,United States,06907,CT,efile1234@incfile.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Zeisler LLC,LLC,Active,2357289,2022-03-31,315 Westmont St,West Hartford,United States,06117-2934,CT,jzeisler70@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"Offices of Physicians, Mental Health Specialists (621112)",2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERVIEW APARTMENTS 883 LLC,LLC,Active,2357271,2022-03-31,417 7TH AVENUE,BROOKLYN,United States,11215,NY,billing@sunsetslopemgmt.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,jim@weinbergpc.com,,2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salty Dog Real Estate, LLC",LLC,Active,2357296,2022-03-31,4 Country Club Dr,Waterford,United States,06385-3410,CT,coygrubb@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higher Ground Christian Church Inc.,Non-Stock,Active,2357308,2022-10-04,,,,,,highergroundchurch@aol.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Religious Organizations (813110),2021-11-10 00:06:48.2166667,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETH EUBANK DESIGN INC.,Stock,Active,2357323,2022-10-04,"777 SEA OAK DRIVE, #702",INDIAN RIVER SHORES,US,32963,FL,liz@lizeubank.com,Foreign,US,2021-10-04,,FL,False,False,False,False,False,,541410,2021-11-10 00:06:48.2333333,,2021-09-17,"ELIZABETH EUBANK DESIGN, INC.,",,,,,,,,,,,,,,,,,,,,,,,,,,,
"5B2C, LLC",LLC,Active,2357319,2022-03-31,33 Intervale Road,Darien,United States,06820,CT,barlowpeelle@ymail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,atibbetts@butlertibbetts.com,,2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ONTARIO GANJA, INC.",Stock,Active,2357331,2022-10-06,137 MAIN STREET,WETHERSFIELD,United States,06109,CT,ctborn@sbcglobal.net,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,adam@lmrblaw.com,All Other Miscellaneous Crop Farming (111998),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,2021-09-29,1000.0,,,,,,,,,,
"Maggie McFly's HQ Realty, LLC",LLC,Active,2357325,2022-03-31,1579 Straits Turnpike,Middlebury,United States,06762,CT,rharper@maggiemcflys.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,costa@halloransage.com,,2021-11-10 00:06:47.7033333,Unit 2-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Services LLC,LLC,Active,2357347,2022-03-31,23 Lantern Park Dr,Naugatuck,United States,06770-1846,CT,alessandroteixeiracassiano@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,moniquesmulti@gmail.com,Finish Carpentry Contractors (238350),2021-11-10 00:06:47.7166667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREENLY, INC.",Stock,Active,2357342,2022-10-06,1131-O TOLLAND TURNPIKE #158,MANCHESTER,United States,06042,CT,opariser1001@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,adam@lmrblaw.com,All Other Miscellaneous Crop Farming (111998),2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,2021-09-29,1000.0,,,,,,,,,,
Actus Marketing LLC,LLC,Active,2357357,2022-03-31,2625 Park Ave,Bridgeport,United States,06604-1322,CT,actusmarketinggroup@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Marketing Consulting Services (541613),2021-11-10 00:06:47.7166667,16J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CK 804 RC, LLC",LLC,Active,2357346,2022-03-31,1022 Boulevard #279,West Hartford,United States,06119,CT,black360wk@icloud.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Home Justice LLC,LLC,Active,2357372,2022-03-31,54 Moffitt St,Bridgeport,United States,06606-3942,CT,welcomehomejustice@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,True,False,False,,All Other Legal Services (541199),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meaningful Memory Care LLC,LLC,Active,2357349,2022-03-31,22 Reservoir St,Bethel,United States,06801-2333,CT,kellyklan07@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,All Other Personal Services (812990),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce Gendler, LLC",LLC,Active,2357391,2022-03-31,227 Mungertown Rd,Madison,United States,06443-1935,CT,joycegendler@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,Other Individual and Family Services (624190),2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noujaim 438 Main LLC,LLC,Active,2357389,2022-03-31,438 Main St,Winsted,United States,06098-1557,CT,noujaimg@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Caterers (722320),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kende trucking company L.L.C.,LLC,Rejected,2357401,,9 Andrea Ln,Bloomfield,United States,06002-2503,CT,kendetruckingcompanyllc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,True,True,False,kendetruckingcompanyllc@gmail.com,Couriers and Express Delivery Services (492110),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R and L Ventures LLC,LLC,Active,2357402,2022-03-31,54 Goodrich Drive,Wethersfield,United States,06109,CT,rlventures2021@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,fulfillment+formations@zenbusiness.com,Residential Remodelers (236118),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnstiles Services LLC,LLC,Active,2357393,2022-03-31,11 Hendrie Avenue,Riverside,United States,06878,CT,dfbailey1@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,doloresburton@unitedcorporate.com,"Process, Physical Distribution, and Logistics Consulting Services (541614)",2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIRAY, LLC",LLC,Active,2357394,2022-03-31,1216 Dixwell Ave,Hamden,United States,06514-4732,CT,azizerkmen73@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Limited-Service Restaurants (722513),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LECTURIO INC.,Stock,Active,2357411,2022-10-04,511 Avenue of the Americas,New York,United States,10011,NY,rduggal@bdhllp.com,Foreign,,2021-10-04,DELAWARE,DELAWARE,False,False,False,False,False,,,2021-11-10 00:06:48.2166667,Unit #902,2021-10-04,LECTURIO INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N525RE, LLC",LLC,Active,2357417,2022-03-31,89 Hickok Rd,New Canaan,United States,06840-3304,CT,richard@iids.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,victoria@russorizio.com,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (532411)",2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brielle & Co LLC,LLC,Active,2357410,2022-03-31,1212 S Grand St,West Suffield,United States,06093-3428,CT,briebrowne@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,,2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&WCleaningServices LLC,LLC,Active,2357471,2022-03-31,56 S Burritt St,New Britain,United States,06052-1208,CT,wmcleaningservicellc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,brandie@totallegal.com,Janitorial Services (561720),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RONNY SERVICES LLC,LLC,Active,2357414,2022-03-31,37 Kohanza St,Danbury,United States,06811-4406,CT,seneca.business@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,seneca.business@yahoo.com,Tile and Terrazzo Contractors (238340),2021-11-10 00:06:48.2333333,UNIT 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE HOME IMPROVEMENT LLC,LLC,Active,2357413,2022-03-31,581 Frost Rd,Waterbury,United States,06705-2305,CT,brasilianstrong@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Residential Remodelers (236118),2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JessicaAnthony LLC,LLC,Active,2357427,2022-03-31,304 Main Street,FARMINGTON,United States,06032,CT,janthonyllc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Individual and Family Services (624190),2021-11-10 00:06:48.2333333,Suite 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal blood line LLC,LLC,Active,2357420,2022-03-31,1204 main st,branford,United States,06405,CT,dwest@royalbloodline.store,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Family Clothing Stores (448140),2021-11-10 00:06:47.7166667,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Mexicano Limited Liability Company,LLC,Active,2357425,2022-03-31,483 Federal Rd,Brookfield,United States,06804-2039,CT,arturohe0330@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Full-Service Restaurants (722511),2021-11-10 00:06:48.2033333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCAR LLC,LLC,Active,2357435,2022-03-31,255 Baileyville Rd,Middlefield,United States,06455-1014,CT,evcarusone@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILL.S TREE SERVICES LLC,LLC,Active,2357442,2022-03-31,15 DIVISION ST,DANBURY,United States,06810,CT,manuelvazquez2004@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Landscaping Services (561730),2021-11-10 00:06:47.7166667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediagraphyx LLC,LLC,Active,2357455,2022-03-31,10 Highwood Avenue,Southington,United States,06489,CT,perezfrank71@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,fulfillment+formations@zenbusiness.com,Graphic Design Services (541430),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEYKER HOME IMPROVEMENT SERVICES LLC,LLC,Active,2357460,2022-03-31,1024 Howard Ave,Bridgeport,United States,06605-1972,CT,contact@amesur.net,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,contact@amesur.net,Residential Remodelers (236118),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
