name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
CSI TUNNEL SYSTEMS LLC,LLC,Active,,1290309,2022-03-31,9 COMMERCIAL STREET,HUDSON,03051,NH,ppowers@csigroup.com,Foreign,2018-11-09,NH,NH,False,False,False,False,False,,2021-11-10 00:12:24.0066667,2018-11-09,United States,CSI TUNNEL SYSTEMS LLC,United States,"9 COMMERCIAL STREET, HUDSON, NH, 03051,",9 COMMERCIAL STREET,HUDSON,NH,03051,Other Concrete Product Manufacturing (327390),327390.0,"9 COMMERCIAL STREET, HUDSON, NH, 03051, United States",9 COMMERCIAL STREET,HUDSON,NH,03051,United States,,,,,,,
"CASA DE ORACION Y ADORACION ""PARA TODOS LOS PUEBLOS"" MI INC",Non-Stock,Active,Ready for dissolution,1290312,2019-11-09,554 WETHERSFIELD AVE,HARTFORD,06114,CT,PASTORAMARIAOCASIO1829@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0066667,,,,,,,,,,,,,,,,,,,,,,,,
"FAB CONSULTING, LLC",LLC,Active,Ready for dissolution,1290314,2020-03-31,3 UPLAND COURT,NORWALK,06854,CT,FRAN_BUONOCORE@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0066667,,United States,,,,,,,,,,,,,,,,,,,,,,
ENVY LASH & BEAUTY BAR LLC,LLC,Active,,1290315,2022-03-31,71 WEST MAIN STREET UNIT 5,BRANFORD,06405,CT,Melcyganowskixo3@gmail.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:24.0066667,,United States,,,,,,,,Beauty Salons (812112),812112.0,,,,,,,,,,,,,
"GOLD STAR REAL ESTATE, LLC",LLC,Active,Annual report past due,1290316,2021-03-31,49 LAKEVIEW TERRACE,SANDY HOOK,06482,CT,ct-reports@statefilings.in,Foreign,2018-11-09,NV,NV,False,False,False,False,False,,2021-11-10 00:12:24.0066667,2018-11-19,United States,"GOLD STAR REAL ESTATE, LLC",United States,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,Lessors of Residential Buildings and Dwellings (531110),531110.0,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,,,,,,,
"TVT DIRECT FUNDING, LLC",LLC,Active,,1290334,2022-03-31,411 W Putnam Ave,Greenwich,06830-6261,CT,craig.paul@libertasfunding.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.5866667,2018-11-05,United States,"TVT DIRECT FUNDING, LLC",United States,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Other Financial Vehicles (525990),525990.0,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,United States,,,220,,
"SAMSON DIRECT FUNDING, LLC",LLC,Active,,1290339,2022-03-31,411 W Putnam Ave,Greenwich,06830-6261,CT,craig.paul@libertasfunding.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.5866667,2018-11-05,United States,"SAMSON DIRECT FUNDING, LLC",United States,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Other Financial Vehicles (525990),525990.0,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,United States,,,220,,
KINETIC DIRECT FUNDING LLC,LLC,Active,,1290345,2022-03-31,411 W Putnam Ave,Greenwich,06830-6261,CT,craig.paul@libertasfunding.com,Foreign,2018-11-09,NY,NY,False,False,False,False,False,,2021-11-10 00:12:24.6166667,2018-11-05,United States,KINETIC DIRECT FUNDING LLC,United States,"909 THIRD AVE C/O MORRISON COHEN, NEW YORK, NY, 10022, United States",909 THIRD AVE C/O MORRISON COHEN,NEW YORK,NY,10022,Other Financial Vehicles (525990),525990.0,"909 THIRD AVE C/O MORRISON COHEN, NEW YORK, NY, 10022, United States",909 THIRD AVE C/O MORRISON COHEN,NEW YORK,NY,10022,United States,,United States,,,220,,
ACCEL DIRECT FUNDING LLC,LLC,Active,,1290347,2022-03-31,411 W Putnam Ave,Greenwich,06830-6261,CT,craig.paul@libertasfunding.com,Foreign,2018-11-09,NY,NY,False,False,False,False,False,,2021-11-10 00:12:24.6166667,2018-11-05,United States,ACCEL DIRECT FUNDING LLC,United States,"909 THIRD AVE C/O MORRISON COHEN, NEW YORK, NY, 10022, United States",909 THIRD AVE C/O MORRISON COHEN,NEW YORK,NY,10022,Other Financial Vehicles (525990),525990.0,"909 THIRD AVE C/O MORRISON COHEN, NEW YORK, NY, 10022, United States",909 THIRD AVE C/O MORRISON COHEN,NEW YORK,NY,10022,United States,,United States,,,220,,
"TERRAPIN BUSINESS FUNDING, LLC",LLC,Active,,1290348,2022-03-31,411 W Putnam Ave,Greenwich,06830-6261,CT,craig.paul@libertasfunding.com,Foreign,2018-11-09,NY,NY,False,False,False,False,False,,2021-11-10 00:12:24.6166667,2018-11-05,United States,"TERRAPIN BUSINESS FUNDING, LLC",United States,,,,,,Other Financial Vehicles (525990),525990.0,,,,,,,,,,,,,
SOUTHPORT STATION LLC,LLC,Active,,1290350,2022-03-31,36 BEACHSIDE AVENUE,WESTPORT,06880,CT,Bert@georgetowninvesting.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:24.6166667,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,
IMPACT SECURITY AND CONSULTING LLC,LLC,Active,Annual report past due,1290374,2021-03-31,7 YORKSHIRE WAY,BURLINGTON,06013,CT,petersonej2000@yahoo.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6633333,,United States,,,,,,,,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,,,,,,,,,,,,
COPPER BEACH HOLDINGS LLC,LLC,Active,Ready for dissolution,1290381,2020-03-31,30 OLD KINGS HWY SOUTH,DARIEN,06820,CT,STEVE@CHAINANI.NET,Domestic,2018-11-09,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6633333,,United States,,,,,,,,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,,,,,
EJS 697 OAK LLC,LLC,Active,,1290383,2022-03-31,697 OAKWOOD AVENUE,WEST HARTFORD,06110,CT,rmccaule@marjam.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6633333,,United States,,,,,,,,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,
"NEXEO PLASTICS, LLC",LLC,Active,,1290395,2022-03-31,"THREE HUGHES LANDING BUILDING 1780 HUGHES LANDING BLVD., STE 1000",THE WOODLANDS,77380,TX,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:22.1633333,2018-11-08,United States,"NEXEO PLASTICS, LLC",United States,"THREE HUGHES LANDING BUILDING 1780 HUGHES LANDING BLVD., STE 1000, THE WOODLANDS, TX, 77380, United States","THREE HUGHES LANDING BUILDING 1780 HUGHES LANDING BLVD., STE 1000",THE WOODLANDS,TX,77380,Other Chemical and Allied Products Merchant Wholesalers (424690),424690.0,"THREE HUGHES LANDING BUILDING 1780 HUGHES LANDING BLVD., STE 1000, THE WOODLANDS, TX, 77380, United States","THREE HUGHES LANDING BUILDING 1780 HUGHES LANDING BLVD., STE 1000",THE WOODLANDS,TX,77380,United States,,United States,,,,,
HEAVENLY ROOFING LLC,LLC,Active,Ready for dissolution,1290440,2019-03-31,107 GOLF ST,NEWINGTON,06111,CT,BONNIEMILANOVICH@ICLOUD.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
LOVE OF GOD IN CHRIST MINISTRY (L.O.G.I.C.),Religious,Active,,1290448,,No information provided,,,,,Domestic,2018-11-09,,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7400000,,,,,,,,,,,,,,,,,,,,,,,,
"WESTERN CONNECTICUT MASONRY AND LANDSCAPING, LLC",LLC,Active,Ready for dissolution,1290475,2019-03-31,104 ELM STREET APT. 1,DANBURY,06810,CT,PESANTEZEDER@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,,
CHRISANDRAS COUNTRY STORE LLC,LLC,Active,Ready for dissolution,1290482,2019-03-31,316 OXFORD RD,OXFORD,06478,CT,CHRISANDRAS@AOL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,,
JEANNETTE MONTGOMERY BARRON LLC,LLC,Active,Ready for dissolution,1290497,2019-03-31,215 SOUTH KENT ROAD,SOUTH KENT,06785,CT,JMONTBARRON@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8500000,,,,,,,,,,,,,,,,,,,,,,,,
ENPS LLC,LLC,Active,,1290922,2022-03-31,933 GEORGES HILL ROAD,SOUTHBURY,06488,CT,mpeluso11@yahoo.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,,,,,
"RELATIONALAI, INC.",Stock,Withdrawn,,1290313,2020-11-09,2120 UNIVERSITY AVE.,BERKELEY,94704,CA,ELIZABETH.GAUBEKA@RELATIONAL.AI,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:06:06.7966667,2019-01-01,United States,"RELATIONALAI, INC.",United States,,,,,,,,,,,,,,,,,,,,
"CLOSET SOLUTIONS OF NEW ENGLAND, LLC",LLC,Dissolved,,1290232,2020-03-31,44 LOWER BUTCHER ROAD,ELLINGTON,06029,CT,CLOSETSOLUTIONSOFNEWENGLAND@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:16.5933333,,United States,,,,,,,,,,,,,,,,2019-11-14T00:00:00.000,,,,,,
BODYROC FITLABS ENTERPRISES LLC,LLC,Withdrawn,,1290233,2019-03-31,183 SISSON AVENUE,HARTFORD,06105,CT,SHAUNC@BODYROCFITLAB.COM,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:04:18.3566667,2018-05-01,,BODYROC FITLABS ENTERPRISES LLC,,"401 FEDERAL ST, DOVER, DE,",401 FEDERAL ST,DOVER,DE,,,,"401 FEDERAL ST, DOVER, DE, 06105,",401 FEDERAL ST,DOVER,DE,06105,,,,,,,,
ALTITUDE ROOFING & REMODELING LLC,LLC,Dissolved,,1290217,2020-03-31,20 WOODLAND DRIVE,NORWICH,06360,CT,TRANQUIL_RED@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:39.6100000,,United States,,,,,,,,,,,,,,,,2019-08-16T00:00:00.000,,,,,,
CT PRIME EVENTS LLC,LLC,Dissolved,,1290194,2019-03-31,12 GRIFFING AVE,DANBURY,06810,CT,EDDIE@EDDIESMULTISERVICES.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:42.0933333,,,,,,,,,,,,,,,,,,2020-01-27T00:00:00.000,,,,,,
MIKES MOBILE CAR WASH & DETAIL LLC,LLC,Dissolved,,1290296,2020-03-31,4 EVANS AVE,EAST HARTFORD,06118,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:13.3266667,,United States,,,,,,,,,,,,,,,,2020-03-31T00:00:00.000,,,,,,
"T & O EXPRESS DELIVERY, LLC",LLC,Dissolved,,1290257,2019-03-31,296 CARRIAGE WAY,WINDSOR,06095,CT,THOMASWEAVER52@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:47.6033333,,,,,,,,,,,,,,,,,,2019-02-25T00:00:00.000,,,,,,
SPROUTING WITH SADIE LLC,LLC,Dissolved,,1290214,2019-03-31,599 VIOLET AVENUE,HYDE PARK,12538,NY,SADIE.MILLERLMHC@GMAIL.COM,Domestic,2018-11-09,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:05:32.6266667,,,,,,,,,,,,,,,,,,2019-11-15T00:00:00.000,,,,,,
"CHAPTER391, INC.",B Corp,Active,,1290318,2022-04-03,20 COOK LANE,BEACON FALLS,06403,CT,JRJURZYNSKI@CHAPTER391.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.0066667,,United States,,,,,,,,Surveying and Mapping (except Geophysical) Services (541370),,,,,,,,,,1.0,,,,
ALL ARRANGED LLC,LLC,Active,Ready for dissolution,1290320,2020-03-31,300 GROTON LONG POINT ROAD,GROTON,06340,CT,JESSICAANNREID96@GMAIL.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0066667,,,,,,,,,,,,,,,,,,,,,,,,
MACKIE TREATS LLC,LLC,Active,,1290321,2022-03-31,110 TOWNE STREET APT 502,STAMFORD,06902,CT,aaacagg@gmail.com,Domestic,2018-11-10,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:24.0066667,,United States,,,,,,,,Pet and Pet Supplies Stores (453910),453910.0,,,,,,,,,,,,,
FROM START 2 FINISH LLC,LLC,Active,Ready for dissolution,1290322,2019-03-31,358 EXETER STREET,BRIDGEPORT,06606,CT,MYERSCA72@GMAIL.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0066667,,,,,,,,,,,,,,,,,,,,,,,,
PENNYS AUTO SPA LLC,LLC,Active,Annual report past due,1290323,2021-03-31,4 CHESTNUT ST APT C,NORWALK,06854,CT,PENNYSAUTOSPA@GMAIL.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.0233333,,United States,,,,,,,,Car Washes (811192),,,,,,,,,,,,,,
MEMORIES AFLOAT LLC,LLC,Active,Ready for dissolution,1290325,2019-03-31,69 WALBRIDGE RD,WEST HARTFORD,06119,CT,SINGLETONJM5@YAHOO.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5700000,,,,,,,,,,,,,,,,,,,,,,,,
ICON HEALTH CORP.,Stock,Active,Ready for dissolution,1290327,2019-11-10,"1 KENNEDY AVE, 2136",DANBURY,06810,CT,info@iconnhealth.com,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,,,,,,,,,,,,,,,,,,,,100.0,,,,
ADAMS HOLDINGS LLC,LLC,Active,,1290328,2022-03-31,79 BLISSVILLE RD,LISBON,06351,CT,rjadams82@gmail.com,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.5866667,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"SD AUTO, LLC",LLC,Dissolved,,1290319,2019-03-31,1909 SILAS DEANE HWY,ROCKY HILL,06067,CT,JAMES@SILASDEANEAUTO.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:49.0800000,,,,,,,,,,,,,,,,,,2019-05-01T00:00:00.000,,,,,,
SQUARE BEARS SQUARE DANCE CLUB LLC,LLC,Dissolved,,1290326,2020-03-31,12 GOOD HILL ROAD,WESTON,06883,CT,TRISH.ITSALLGOOD@GMAIL.COM,Domestic,2018-11-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:32.0966667,,United States,,,,,,,,,,,,,,,,2019-08-31T00:00:00.000,,,,,,
"TRANSFORMATIVE BEAUTY, L.L.C.",LLC,Active,Ready for dissolution,1290299,2020-03-31,111 COURT ST.,NEW HAVEN,06511,CT,THECURLORISTA@GMAIL.COM,Domestic,2018-11-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,,,,,,,,,,,,,,,
BEAR PERFORMANCE SHOP LLC,LLC,Active,Ready for dissolution,1290245,2019-03-31,277 MAGNOLIA HILL RD.,BETHLEHEM,06751,CT,BEAR.PERFORMANCE@ICLOUD.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,,,,,,,,,,,,,,,,,,,,,,,
YAYA'S KITCHEN LLC,LLC,Active,,1290330,2022-03-31,1223 MADISON AVE FL1,BRIDGEPORT,06606,CT,Rico_jr24@yahoo.com,Domestic,2018-11-12,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:24.5866667,,United States,,,,,,,,Limited-Service Restaurants (722513),722513.0,,,,,,,,,,,,,
NOMAD BARBERING LLC,LLC,Active,,1290331,2022-03-31,1 STORE ROAD LOWER LEVEL,MIDDLEBURY,06762,CT,nomadbarbering@yahoo.com,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.5866667,,United States,,,,,,,,Barber Shops (812111),812111.0,,,,,,,,,,,,,
SALON VAIN LLC,LLC,Active,,1290333,2022-03-31,4133 WHITNEY AVE,HAMDEN,06518,CT,dszerszen@hotmail.com,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.5866667,,United States,,,,,,,,Beauty Salons (812112),,,,,,,,,,,,,,
ADVANCED PSYCHOTHERAPY PRACTICE LLC,LLC,Active,Ready for dissolution,1290336,2020-03-31,370 BOSTON POST RD,ORANGE,06477,CT,LESHAERICE@YAHOO.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,,United States,,,,,,,,,,,,,,,,,,,,,,
"NATIONAL RESTORATIONS, LLC",LLC,Active,,1290337,2022-03-31,2821 EMERYWOOD PARKWAY SUITE 100,RICHMOND,23294,VA,PROFESSIONAL@HARBORCOMPLIANCE.COM,Foreign,2018-11-12,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.5866667,2018-11-12,United States,"NATIONAL RESTORATIONS, LLC",United States,"251 LITTLE FALLS DRIVE  251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE  251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Finish Carpentry Contractors (238350),238350.0,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,United States,,,,,
GOLDEN NEST PROPERTIES LLC,LLC,Active,Annual report past due,1290338,2021-03-31,15 OCONNELL RD,COLCHESTER,06415,CT,adel.k.benedek@gmail.com,Domestic,2018-11-12,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:24.5866667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,
ESPORTSU LLC,LLC,Active,Ready for dissolution,1290340,2019-03-31,36 ARCADIA ROAD UNIT #363,OLD GREENWICH,06780,CT,NEILMALVONE@GMAIL.COM,Foreign,2018-11-12,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,2018-11-12,,ESPORTSU LLC,,"16192 COASTAL HIGHWAY, LEWES, DE, 19958,",16192 COASTAL HIGHWAY,LEWES,DE,19958,,,"16192 COASTAL HIGHWAY, LEWES, DE, 19958,",16192 COASTAL HIGHWAY,LEWES,DE,19958,,,,,,,,
THE CAMERA CRUSH LLC,LLC,Active,Ready for dissolution,1290341,2019-03-31,265 CHURCH STREET,BROOKLYN,06234,CT,INFO@THECAMERACRUSH.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,,,,,,,,,,,,,,,,,,,,,,,,
CABANA CAFE LLC,LLC,Active,Ready for dissolution,1290342,2019-03-31,880 MAPLE AVE,HARTFORD,06114,CT,FREDDYTORRESNY@GMAIL.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,,,,,,,,,,,,,,,,,,,,,,,,
THE WEYBREW GROUP LLC,LLC,Active,Ready for dissolution,1290344,2019-03-31,92 NORTH SUMMIT STREET,SOUTHINGTON,06489,CT,TERESA@HEALTHROUGHLOVE.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5866667,,,,,,,,,,,,,,,,,,,,,,,,
FORECS CONSULTING LLC,LLC,Active,Ready for dissolution,1290351,2019-03-31,24 EDGEWATER DR,OLD GREENWICH,06870,CT,ED.CARROLL29@GMAIL.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,,
"LAW OFFICES OF ROBERT J. MCKAY, LLC",LLC,Active,,1290353,2022-03-31,"111 FOUNDERS PLAZA, SUITE 1102",EAST HARTFORD,06108,CT,robert.mckay1@comcast.net,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6166667,,United States,,,,,,,,Offices of Lawyers (541110),541110.0,,,,,,,,,,,,,
"SPORTS ENDEAVORS, INC.",Stock,Active,,1290355,2022-11-12,431 US HIGHWAY 70A E ATTN - TAX DEPT,HILLSBOROUGH,27278,NC,TaxDept@sportsendeavors.com,Foreign,2018-11-12,NC,NC,False,False,False,False,False,,2021-11-10 00:12:24.6166667,2018-12-01,United States,"SPORTS ENDEAVORS, INC.",United States,,,,,,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,,,,,,,,,,
NUNES PAINTING SERVICES LLC,LLC,Active,Ready for dissolution,1290356,2019-03-31,130 KANE ST APT B11,WEST HARTFORD,06119,CT,NANINHONUNES739@GMAIL.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,,
"MUSANTE PROPERTIES, LLC",LLC,Active,,1290357,2022-03-31,41 COMMERCE WAY,SOUTH WINDSOR,06074,CT,Renee@MusanteMotorsports.com,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6166667,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,
QUIM LLC,LLC,Active,,1290358,2022-03-31,"71 LITTLEBROOK ROAD, FAIRFIELD, CT, USA",FAIRFIELD,06825,CT,khurram.ali59@gmail.com,Domestic,2018-11-12,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:24.6166667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
WACOM TECHNOLOGY CORPORATION,Stock,Active,,1290360,2022-11-12,1455 NW IRVING ST. STE 800,PORTLAND,97209,OR,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2018-11-12,WA,WA,False,False,False,False,False,,2021-11-10 00:12:24.6166667,2018-12-01,United States,WACOM TECHNOLOGY CORPORATION,United States,,,,,,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers (423430),,,,,,,,,,,,,,
"NATIONWIDE FITNESS, LLC",LLC,Active,Ready for dissolution,1290361,2020-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Foreign,2018-11-12,CO,CO,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,2018-11-12,United States,"NATIONWIDE FITNESS, LLC",United States,"1942 BROADWAY ST, BOULDER, CO, 80302,",1942 BROADWAY ST,BOULDER,CO,80302,,,"1942 BROADWAY ST. STE 314C, BOULDER, CO, United States",1942 BROADWAY ST. STE 314C,BOULDER,CO,,United States,,,,,,,
PAPI'S STORE 2 B LLC,LLC,Active,Ready for dissolution,1290362,2019-03-31,337 WILLIAM STREET,BRIDGEPORT,06608,CT,PAPISSTORE2@OUTLOOK.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,,
PATEL KAO PAIN AND REHAB ASSOCIATES LLC,LLC,Active,Ready for dissolution,1290363,2019-03-31,150 MAPLE AVENUE SUITE 111,SOUTH PLAINFIELD,07080-3407,NJ,DRPATEL@SILVERPAIN.COM,Foreign,2018-11-12,NJ,NJ,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,2018-08-01,,PATEL KAO PAIN AND REHAB ASSOCIATES LLC,,"150 MAPLE AVENUE SUITE 111, SOUTH PLAINFIELD, NJ, 07080-3407,",150 MAPLE AVENUE SUITE 111,SOUTH PLAINFIELD,NJ,07080-3407,,,,,,,,,,,,,,,
KFS HOLDINGS 840 LLC,LLC,Active,Ready for dissolution,1290364,2019-03-31,386 MOUNTAIN GROVE STREET,BRIDGEPORT,06605,CT,KINGFLOORSUPPLIES@GMAIL.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,,
OK RIMS LLC,LLC,Active,Ready for dissolution,1290366,2019-03-31,361 OCEAN AVENUE 3 FLOOR,NEW LONDON,06320,CT,OKRIMS@HOTMAIL.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,,
"2540 SUMMER STREET, LLC",LLC,Active,Ready for dissolution,1290368,2019-03-31,469 BOSTON POST ROAD,DARIEN,06820,CT,PETER@GRANTSAUTOBODY.COM,Domestic,2018-11-12,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6633333,,,,,,,,,,,,,,,,,,,,,,,,
